eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Moon,FALSE,384400,363300,405500,00549,5145,3344,162,2380,33,17381,1736,00012,NA,273217,655728,NA,735e20,21968000000,Secondary,Earth,NA,NA,NA,1811589490114464,32608610822060353,22458600958155087e-9,38684210526315786e-5,00025695552897999907,6606323854573963e10
Phobos,FALSE,9376,9234,9518,00151,1075,19,00057,1139,33,13,91,0,268 x 224 x 184,031891,07653,12/08/1877,106e14,578361,Secondary,Mars,NA,NA,NA,742720776450512,13368973976109215,22458600958155087e-9,5578947368421052e-12,6267468885838895e-5,16014373256386214e6
Deimos,FALSE,23458,23456,23471,2e-4,1075,175,0003,5556,33,78,51,0,150 x 12 x 104,126244,3029856,12/08/1877,24e14,99978,Secondary,Mars,NA,NA,NA,296860346150567,5343486230710206,22458600958155087e-9,1263157894736842e-12,15680704471417322e-4,5792533532210834e5
Io,FALSE,421800,0,0,0004,0036,353,179,0,18215,0,0,0,NA,176914,424593,07/01/1610,893e20,NA,Secondary,Jupiter,NA,NA,NA,16552003319108581,29793605974395444,68424742246902275e-6,47e-5,00028195588481728304,6666188450185605e10
Europa,FALSE,671100,0,0,0009,0466,301,131,0,15608,0,0,0,NA,355118,852293,08/01/1610,48e21,NA,Secondary,Jupiter,NA,NA,NA,10399386082551036,18718894948591867,5023996541162752e-6,2526315789473684e-5,0004486026417754354,1415487499855953e10
Ganymede,FALSE,1070400,0,0,0001,0177,194,1428,0,26312,0,0,0,NA,715455,1717093,11/01/1610,14799999999999999e+023,NA,Secondary,Jupiter,NA,NA,NA,06530018684603885,11754033632286993,14277840954737939e-5,7789473684210526e-5,0007155182055676145,17155713830070088e9
Callisto,FALSE,1882700,0,0,0007,0192,183,1235,0,24103,0,0,0,NA,1668902,400536,07/01/1610,10800000000000001e+023,NA,Secondary,Jupiter,NA,NA,NA,03711437297498274,6680587135496893,11981109034281005e-5,5684210526315789e-5,0012585072175094802,4046697946474468e9
Amalthea,FALSE,181400,181150,182840,0003,038,31,002,0,84,0,0,0,125 x 73 x 64,049818,119563,09/09/1892,75e17,NA,Secondary,Jupiter,NA,NA,NA,3839173098125689,6910511576626241,14551688554705443e-8,3947368421052631e-9,0001212584103979496,30270944837956404e6
Himalia,FALSE,11461000,9782900,13082000,0162,275,1,0062,0,85,0,0,0,NA,2505662,77808,03/12/1904,95e17,NA,Secondary,Jupiter,NA,NA,NA,0060764941977139865,10937689555885175,1490021964395505e-8,5e-9,007661205300831866,960545316898533e4
Elara,FALSE,11741000,0,0,0217,2663,1,0031,0,40,0,0,0,NA,2596528,0,02/01/1905,8e17,NA,Secondary,Jupiter,NA,NA,NA,00593119836470488,10676157056468785,3299702620114613e-9,42105263157894736e-10,007848373740255382,770759860780489500
Pasiphae,FALSE,23624000,0,0,0409,1514,1,0022,0,18,0,0,0,NA,7436,0,27/01/1908,3e17,NA,Secondary,Jupiter,NA,NA,NA,0029476803250931258,5305824585167627,6681897805732091e-10,15789473684210526e-10,015791668617646976,71392676769559070
Sinope,FALSE,23939000,0,0,025,1581,1,0014,0,14,0,0,0,NA,7589,0,21/07/1914,8e16,NA,Secondary,Jupiter,NA,NA,NA,002908876728351226,5235978111032207,4042135709640401e-10,4210526315789473e-11,016002233111998432,18540321305986716
